"","X.1","X","time","DOYtime","flux","soilT_T","VSM_T","doy","DAMM14","predict14"
"716",716,716,"2014-05-31 03",151.144096666667,131.258333333333,11.1,0.25,151,68.4114992698509,69.2988754259563
"717",717,717,"2014-05-31 04",151.186806,106.246,11.04,0.25,151,67.9713161189077,68.7323017068219
"718",718,718,"2014-05-31 05",151.22639,129.074,10.92,0.25,151,67.0988795552912,67.5991542685532
"719",719,719,"2014-05-31 06",151.269096666667,113.253333333333,10.8666666666667,0.25,151,66.7144992217531,67.0955331848785
"720",720,720,"2014-05-31 07",151.311806,97.834,10.76,0.25,151,65.9519047226253,66.0882910175282
"721",721,721,"2014-05-31 08",151.3533,98.365,10.7,0.25,151,65.5265336323541,65.5217172983938
"722",722,722,"2014-05-31 09",151.394096666667,94.5716666666667,10.7333333333333,0.25,151,65.7625332672456,65.8364804756904
"723",723,723,"2014-05-31 10",151.436806,89.414,10.8,0.25,151,66.2369177926373,66.4660068302844
"724",724,724,"2014-05-31 11",151.4783,97.3725,10.875,0.25,151,66.7744226763037,67.1742239792024
"725",725,725,"2014-05-31 12",151.519096666667,118.648333333333,11.0333333333333,0.25,151,67.9225706185187,68.6693490713622
"726",726,726,"2014-05-31 13",151.561806,105.05,11.16,0.25,151,68.8543454555703,69.8654491450906
"727",727,727,"2014-05-31 14",151.6033,119.4675,11.275,0.25,151,69.7106321033472,70.9513821067648
"728",728,728,"2014-05-31 15",151.647916,131.598,11.42,0.25,151,70.8044843998177,72.3206019280062
"729",729,729,"2014-05-31 16",151.6866325,113.4625,11.5,0.26,151,74.4224306773797,77.6549318414149
"730",730,730,"2014-05-31 17",151.72917,99.6866666666667,11.6333333333333,0.26,151,75.4939200618953,78.9139845506021
"731",731,731,"2014-05-31 18",151.769096666667,147.531666666667,11.7,0.25,151,72.9622878738458,74.9646126172999
"732",732,732,"2014-05-31 19",151.811806,135.434,11.7,0.25,151,72.9622878738458,74.9646126172999
